project,bug,has_result,upstream_status,upstream_reason
Chart,1,1,STOP_BY_PATCH_FOUND,
Chart,2,1,TIME_OUT,
Chart,3,1,STOP_BY_PATCH_FOUND,
Chart,4,1,TIME_OUT,
Chart,5,1,STOP_BY_PATCH_FOUND,
Chart,6,1,TIME_OUT,
Chart,7,1,STOP_BY_PATCH_FOUND,
Chart,8,1,TIME_OUT,
Chart,9,1,TIME_OUT,
Chart,10,1,TIME_OUT,
Chart,11,1,TIME_OUT,
Chart,12,1,TIME_OUT,
Chart,13,1,STOP_BY_PATCH_FOUND,
Chart,14,1,TIME_OUT,
Chart,15,1,STOP_BY_PATCH_FOUND,
Chart,16,1,TIME_OUT,
Chart,17,1,TIME_OUT,
Chart,18,1,TIME_OUT,
Chart,19,1,TIME_OUT,
Chart,20,1,TIME_OUT,
Chart,21,1,TIME_OUT,
Chart,22,1,TIME_OUT,
Chart,23,1,TIME_OUT,
Chart,24,1,TIME_OUT,
Chart,25,1,STOP_BY_PATCH_FOUND,
Chart,26,1,TIME_OUT,
Closure,1,0,KILLED_GRID,OAR job killed (walltime)
Closure,2,0,KILLED_GRID,OAR job killed (walltime)
Closure,3,0,KILLED_GRID,OAR job killed (walltime)
Closure,4,0,KILLED_GRID,OAR job killed (walltime)
Closure,5,1,ERROR,
Closure,6,0,KILLED_GRID,OAR job killed (walltime)
Closure,7,0,KILLED_GRID,OAR job killed (walltime)
Closure,8,0,KILLED_GRID,OAR job killed (walltime)
Closure,9,0,KILLED_GRID,OAR job killed (walltime)
Closure,10,0,KILLED_GRID,OAR job killed (walltime)
Closure,11,0,KILLED_GRID,OAR job killed (walltime)
Closure,12,0,KILLED_GRID,OAR job killed (walltime)
Closure,13,0,KILLED_GRID,OAR job killed (walltime)
Closure,14,0,KILLED_GRID,OAR job killed (walltime)
Closure,15,0,KILLED_GRID,OAR job killed (walltime)
Closure,16,0,KILLED_GRID,OAR job killed (walltime)
Closure,17,0,KILLED_GRID,OAR job killed (walltime)
Closure,18,0,KILLED_GRID,OAR job killed (walltime)
Closure,19,0,KILLED_GRID,OAR job killed (walltime)
Closure,20,0,KILLED_GRID,OAR job killed (walltime)
Closure,21,1,STOP_BY_PATCH_FOUND,
Closure,22,1,STOP_BY_PATCH_FOUND,
Closure,23,0,KILLED_GRID,OAR job killed (walltime)
Closure,24,0,KILLED_GRID,OAR job killed (walltime)
Closure,25,0,KILLED_GRID,OAR job killed (walltime)
Closure,26,0,KILLED_GRID,OAR job killed (walltime)
Closure,27,0,KILLED_GRID,OAR job killed (walltime)
Closure,28,0,KILLED_GRID,OAR job killed (walltime)
Closure,29,1,ERROR,
Closure,30,1,ERROR,
Closure,31,0,KILLED_GRID,OAR job killed (walltime)
Closure,32,0,KILLED_GRID,OAR job killed (walltime)
Closure,33,0,KILLED_GRID,OAR job killed (walltime)
Closure,34,0,KILLED_GRID,OAR job killed (walltime)
Closure,35,0,KILLED_GRID,OAR job killed (walltime)
Closure,36,0,KILLED_GRID,OAR job killed (walltime)
Closure,37,0,KILLED_GRID,OAR job killed (walltime)
Closure,38,0,KILLED_GRID,OAR job killed (walltime)
Closure,39,0,KILLED_GRID,OAR job killed (walltime)
Closure,40,0,KILLED_GRID,OAR job killed (walltime)
Closure,41,0,INITIAL_TESTS_FAIL,Astor: initial test suite run failed
Closure,42,0,KILLED_GRID,OAR job killed (walltime)
Closure,43,0,KILLED_GRID,OAR job killed (walltime)
Closure,44,0,KILLED_GRID,OAR job killed (walltime)
Closure,45,0,KILLED_GRID,OAR job killed (walltime)
Closure,46,0,KILLED_GRID,OAR job killed (walltime)
Closure,47,0,KILLED_GRID,OAR job killed (walltime)
Closure,48,0,KILLED_GRID,OAR job killed (walltime)
Closure,49,0,KILLED_GRID,OAR job killed (walltime)
Closure,50,0,KILLED_GRID,OAR job killed (walltime)
Closure,51,0,KILLED_GRID,OAR job killed (walltime)
Closure,52,0,KILLED_GRID,OAR job killed (walltime)
Closure,53,1,ERROR,
Closure,54,0,KILLED_GRID,OAR job killed (walltime)
Closure,55,0,KILLED_GRID,OAR job killed (walltime)
Closure,56,0,KILLED_GRID,OAR job killed (walltime)
Closure,57,0,KILLED_GRID,OAR job killed (walltime)
Closure,58,0,KILLED_GRID,OAR job killed (walltime)
Closure,59,0,KILLED_GRID,OAR job killed (walltime)
Closure,60,0,TRUNCATED,log ends without terminal marker: ---- Initial suspicious size: 610
Closure,61,0,KILLED_GRID,OAR job killed (walltime)
Closure,62,0,KILLED_GRID,OAR job killed (walltime)
Closure,63,0,KILLED_GRID,OAR job killed (walltime)
Closure,64,0,KILLED_GRID,OAR job killed (walltime)
Closure,65,0,KILLED_GRID,OAR job killed (walltime)
Closure,66,0,KILLED_GRID,OAR job killed (walltime)
Closure,67,0,KILLED_GRID,OAR job killed (walltime)
Closure,68,0,KILLED_GRID,OAR job killed (walltime)
Closure,69,0,KILLED_GRID,OAR job killed (walltime)
Closure,70,0,KILLED_GRID,OAR job killed (walltime)
Closure,71,0,KILLED_GRID,OAR job killed (walltime)
Closure,72,0,KILLED_GRID,OAR job killed (walltime)
Closure,73,0,KILLED_GRID,OAR job killed (walltime)
Closure,74,0,KILLED_GRID,OAR job killed (walltime)
Closure,75,0,KILLED_GRID,OAR job killed (walltime)
Closure,76,0,KILLED_GRID,OAR job killed (walltime)
Closure,77,0,KILLED_GRID,OAR job killed (walltime)
Closure,78,0,KILLED_GRID,OAR job killed (walltime)
Closure,79,1,TIME_OUT,
Closure,80,1,TIME_OUT,
